,Nivel de Adaptación
0,Bajo
1,Bajo
2,Bajo
3,Bajo
4,Bajo
5,Alto
6,Bajo
7,Moderado
8,Moderado
9,Bajo
10,Bajo
11,Moderado
12,Moderado
13,Bajo
14,Bajo
15,Moderado
16,Bajo
17,Moderado
18,Moderado
19,Moderado
20,Bajo
21,Bajo
22,Moderado
23,Moderado
24,Moderado
25,Bajo
26,Bajo
27,Bajo
28,Moderado
29,Moderado
30,Moderado
31,Bajo
32,Bajo
33,Moderado
34,Bajo
35,Bajo
36,Bajo
37,Moderado
38,Moderado
39,Bajo
40,Moderado
41,Bajo
42,Bajo
43,Bajo
44,Bajo
45,Moderado
46,Moderado
47,Moderado
48,Bajo
49,Moderado
50,Moderado
51,Bajo
52,Moderado
53,Bajo
54,Moderado
55,Moderado
56,Bajo
57,Moderado
58,Moderado
59,Bajo
60,Moderado
61,Bajo
62,Bajo
63,Moderado
64,Moderado
65,Moderado
66,Moderado
67,Bajo
68,Bajo
69,Moderado
70,Bajo
71,Moderado
72,Bajo
73,Moderado
74,Bajo
75,Moderado
76,Moderado
77,Bajo
78,Moderado
79,Moderado
80,Moderado
81,Moderado
82,Bajo
83,Moderado
84,Moderado
85,Alto
86,Bajo
87,Bajo
88,Bajo
89,Moderado
90,Moderado
91,Bajo
92,Moderado
93,Moderado
94,Moderado
95,Moderado
96,Moderado
97,Moderado
98,Moderado
99,Bajo
100,Moderado
101,Alto
102,Bajo
103,Moderado
104,Moderado
105,Bajo
106,Bajo
107,Moderado
108,Moderado
109,Moderado
110,Moderado
111,Bajo
112,Moderado
113,Bajo
114,Bajo
115,Moderado
116,Moderado
117,Moderado
118,Alto
119,Bajo
120,Bajo
121,Bajo
122,Alto
123,Bajo
124,Moderado
125,Bajo
126,Moderado
127,Bajo
128,Alto
129,Bajo
130,Moderado
131,Bajo
132,Moderado
133,Moderado
134,Moderado
135,Moderado
136,Bajo
137,Bajo
138,Bajo
139,Moderado
140,Moderado
141,Moderado
142,Moderado
143,Bajo
144,Moderado
145,Moderado
146,Moderado
147,Moderado
148,Alto
149,Moderado
150,Moderado
151,Bajo
152,Moderado
153,Moderado
154,Moderado
155,Moderado
156,Moderado
157,Moderado
158,Moderado
159,Moderado
160,Bajo
161,Alto
162,Alto
163,Bajo
164,Bajo
165,Moderado
166,Alto
167,Moderado
168,Bajo
169,Moderado
170,Moderado
171,Moderado
172,Moderado
173,Bajo
174,Bajo
175,Moderado
176,Bajo
177,Bajo
178,Moderado
179,Bajo
180,Moderado
181,Moderado
182,Moderado
183,Bajo
184,Bajo
185,Moderado
186,Bajo
187,Moderado
188,Moderado
189,Moderado
190,Moderado
191,Moderado
192,Bajo
193,Moderado
194,Moderado
195,Bajo
196,Bajo
197,Bajo
198,Bajo
199,Moderado
200,Bajo
201,Bajo
202,Moderado
203,Moderado
204,Moderado
205,Moderado
206,Moderado
207,Bajo
208,Moderado
209,Moderado
210,Bajo
211,Bajo
212,Moderado
213,Bajo
214,Bajo
215,Moderado
216,Moderado
217,Bajo
218,Moderado
219,Bajo
220,Moderado
221,Bajo
222,Bajo
223,Bajo
224,Moderado
225,Moderado
226,Moderado
227,Bajo
228,Bajo
229,Moderado
230,Moderado
231,Bajo
232,Alto
233,Bajo
234,Bajo
235,Bajo
236,Moderado
237,Moderado
238,Moderado
239,Moderado
240,Moderado
