,Nivel de Adaptación
0,Moderado
1,Moderado
2,Bajo
3,Bajo
4,Bajo
5,Alto
6,Bajo
7,Moderado
8,Moderado
9,Moderado
10,Bajo
11,Moderado
12,Moderado
13,Bajo
14,Bajo
15,Moderado
16,Moderado
17,Moderado
18,Moderado
19,Alto
20,Bajo
21,Moderado
22,Bajo
23,Moderado
24,Moderado
25,Bajo
26,Bajo
27,Moderado
28,Moderado
29,Moderado
30,Moderado
31,Moderado
32,Bajo
33,Bajo
34,Moderado
35,Bajo
36,Moderado
37,Alto
38,Moderado
39,Moderado
40,Moderado
41,Moderado
42,Bajo
43,Moderado
44,Moderado
45,Moderado
46,Moderado
47,Bajo
48,Bajo
49,Moderado
50,Moderado
51,Alto
52,Moderado
53,Moderado
54,Moderado
55,Bajo
56,Bajo
57,Moderado
58,Moderado
59,Moderado
60,Moderado
61,Bajo
62,Moderado
63,Moderado
64,Bajo
65,Moderado
66,Bajo
67,Bajo
68,Moderado
69,Moderado
70,Bajo
71,Moderado
72,Bajo
73,Bajo
74,Bajo
75,Moderado
76,Moderado
77,Bajo
78,Moderado
79,Moderado
80,Moderado
81,Bajo
82,Bajo
83,Bajo
84,Moderado
85,Alto
86,Moderado
87,Moderado
88,Moderado
89,Moderado
90,Moderado
91,Moderado
92,Bajo
93,Moderado
94,Moderado
95,Moderado
96,Bajo
97,Bajo
98,Moderado
99,Bajo
100,Moderado
101,Bajo
102,Bajo
103,Moderado
104,Moderado
105,Moderado
106,Bajo
107,Bajo
108,Moderado
109,Moderado
110,Moderado
111,Bajo
112,Moderado
113,Moderado
114,Bajo
115,Moderado
116,Moderado
117,Moderado
118,Alto
119,Moderado
120,Moderado
121,Bajo
122,Moderado
123,Bajo
124,Bajo
125,Moderado
126,Bajo
127,Bajo
128,Alto
129,Bajo
130,Moderado
131,Bajo
132,Alto
133,Moderado
134,Moderado
135,Moderado
136,Bajo
137,Bajo
138,Bajo
139,Moderado
140,Moderado
141,Moderado
142,Moderado
143,Moderado
144,Moderado
145,Bajo
146,Moderado
147,Moderado
148,Moderado
149,Moderado
150,Moderado
151,Bajo
152,Moderado
153,Moderado
154,Moderado
155,Moderado
156,Moderado
157,Bajo
158,Moderado
159,Moderado
160,Bajo
161,Alto
162,Alto
163,Bajo
164,Moderado
165,Moderado
166,Alto
167,Moderado
168,Bajo
169,Moderado
170,Alto
171,Moderado
172,Moderado
173,Bajo
174,Bajo
175,Moderado
176,Moderado
177,Bajo
178,Moderado
179,Bajo
180,Moderado
181,Moderado
182,Moderado
183,Bajo
184,Bajo
185,Moderado
186,Bajo
187,Moderado
188,Moderado
189,Moderado
190,Moderado
191,Moderado
192,Bajo
193,Bajo
194,Bajo
195,Moderado
196,Bajo
197,Moderado
198,Moderado
199,Alto
200,Bajo
201,Bajo
202,Moderado
203,Moderado
204,Moderado
205,Moderado
206,Moderado
207,Moderado
208,Bajo
209,Bajo
210,Bajo
211,Bajo
212,Bajo
213,Moderado
214,Bajo
215,Moderado
216,Moderado
217,Bajo
218,Bajo
219,Moderado
220,Moderado
221,Moderado
222,Bajo
223,Bajo
224,Moderado
225,Bajo
226,Moderado
227,Bajo
228,Moderado
229,Moderado
230,Moderado
231,Bajo
232,Alto
233,Moderado
234,Moderado
235,Bajo
236,Moderado
237,Moderado
238,Moderado
239,Bajo
240,Moderado
